name_fi_FI	name_en_US	name_sv_SE	type	mainLanguage	municipality_fi_FI	municipality_en_US	municipality_sv_SE	latitude	longitude
Sauvo	Sauvo	Sagu	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.34347219999999	22.6953664
Savitaipale	Savitaipale	Savitaipale	Kunta	suomi	Etelä-Karjala	Etelä-Karjala	Södra Karelen	61.197533	27.6958635
Savonlinna	Savonlinna	Nyslott	Kaupunki	suomi	Etelä-Savo	Etelä-Savo	Södra Savolax	61.8679728	28.8863843
Savukoski	Savukoski	Savukoski	Kunta	suomi	Lappi	Lappi	Lappland	67.292419	28.1585461
Seinäjoki	Seinäjoki	Seinäjoki	Kaupunki	suomi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	62.787735	22.8504338
Sievi	Sievi	Sievi	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	63.90604129999999	24.5144506
Siikainen	Siikainen	Siikainen	Kunta	suomi	Satakunta	Satakunta	Satakunta	61.8766697	21.8215758
Siikajoki	Siikajoki	Siikajoki	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.66454659999999	25.1023892
Siilinjärvi	Siilinjärvi	Siilinjärvi	Kunta	suomi - ruotsi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	63.0736826	27.661883
Simo	Simo	Simo	Kunta	suomi - ruotsi	Lappi	Lappi	Lappland	65.6614027	25.0579716
Sipoo	Sipoo	Sibbo	Kunta	suomi	Uusimaa	Uusimaa	Nyland	60.376754	25.268977
Siuntio	Siuntio	Sjundeå	Kunta	suomi	Uusimaa	Uusimaa	Nyland	60.1385818	24.2269875
Sodankylä	Sodankylä	Sodankylä	Kunta	suomi	Lappi	Lappi	Lappland	67.415999	26.5889726
Soini	Soini	Soini	Kunta	suomi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	62.8731978	24.2063742
Somero	Somero	Somero	Kaupunki	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.6285429	23.5145251
Sonkajärvi	Sonkajärvi	Sonkajärvi	Kunta	ruotsi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	63.67163879999999	27.5220869
Sotkamo	Sotkamo	Sotkamo	Kunta	suomi	Kainuu	Kainuu	Kajanaland	64.13065469999999	28.3904978
Sottunga	Sottunga	Sottunga	Kunta	ruotsi	Ahvenanmaa	Ahvenanmaa	Åland	60.1307784	20.6665817
Sulkava	Sulkava	Sulkava	Kunta	suomi	Etelä-Savo	Etelä-Savo	Södra Savolax	61.7861004	28.3705859
Sund	Sund	Sund	Kunta	suomi	Ahvenanmaa	Ahvenanmaa	Åland	60.23809430000001	20.1414378
Suomussalmi	Suomussalmi	Suomussalmi	Kunta	suomi	Kainuu	Kainuu	Kajanaland	64.88411069999999	28.911656
Suonenjoki	Suonenjoki	Suonenjoki	Kaupunki	suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	62.6260906	27.122123
Sysmä	Sysmä	Sysmä	Kunta	suomi	Päijät-Häme	Päijät-Häme	Päijänne-Tavastland	61.5038896	25.6832061
Säkylä	Säkylä	Säkylä	Kunta	suomi	Satakunta	Satakunta	Satakunta	61.0542638	22.3353483
Vaala	Vaala	Vaala	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.55986489999999	26.8409084
Sastamala	Sastamala	Sastamala	Kaupunki	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.3376032	22.9184987
Siikalatva	Siikalatva	Siikalatva	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.2684615	25.8668271
Taipalsaari	Taipalsaari	Taipalsaari	Kunta	suomi	Etelä-Karjala	Etelä-Karjala	Södra Karelen	61.15213379999999	28.0739477
Taivalkoski	Taivalkoski	Taivalkoski	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	65.57503029999999	28.2434186
Taivassalo	Taivassalo	Tövsala	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.5616121	21.6133239
Tammela	Tammela	Tammela	Kunta	suomi	Kanta-Häme	Kanta-Häme	Egentliga Tavastland	60.8090904	23.7690028
Tampere	Tampere	Tammerfors	Kaupunki	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.4977524	23.7609535
Tervo	Tervo	Tervo	Kunta	suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	62.95647089999999	26.7604237
Tervola	Tervola	Tervola	Kunta	suomi	Lappi	Lappi	Lappland	66.0805024	24.8109034
Teuva	Teuva	Östermark	Kunta	suomi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	62.48003749999999	21.7392081
Tohmajärvi	Tohmajärvi	Tohmajärvi	Kunta	suomi	Pohjois-Karjala	Pohjois-Karjala	Norra Karelen	62.2251709	30.3353906
Toholampi	Toholampi	Toholampi	Kunta	suomi	Keski-Pohjanmaa	Keski-Pohjanmaa	Mellersta Österbotten	63.7716108	24.247798
Toivakka	Toivakka	Toivakka	Kunta	suomi - ruotsi	Keski-Suomi	Keski-Suomi	Mellersta Finland	62.09800329999999	26.0816538
Tornio	Tornio	Torneå	Kaupunki	suomi	Lappi	Lappi	Lappland	65.847301	24.1520236
Turku	Turku	Åbo	Kaupunki	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.4518126	22.2666302
Pello	Pello	Pello	Kunta	suomi	Lappi	Lappi	Lappland	66.77622169999999	23.9661905
Tuusniemi	Tuusniemi	Tuusniemi	Kunta	suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	62.81075869999999	28.4912383
Tuusula	Tuusula	Tusby	Kunta	suomi	Uusimaa	Uusimaa	Nyland	60.4040324	25.0130603
Tyrnävä	Tyrnävä	Tyrnävä	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.76382219999999	25.6529944
Ulvila	Ulvila	Ulvsby	Kaupunki	suomi	Satakunta	Satakunta	Satakunta	61.43019349999999	21.875001
Urjala	Urjala	Urjala	Kunta	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.08030589999999	23.5486239
Utajärvi	Utajärvi	Utajärvi	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.76239269999999	26.4205629
Utsjoki	Utsjoki	Utsjoki	Kunta	ruotsi - suomi	Lappi	Lappi	Lappland	69.9090465	27.0285295
Uurainen	Uurainen	Uurainen	Kunta	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	62.4968876	25.4417989
Uusikaarlepyy	Uusikaarlepyy	Nykarleby	Kaupunki	suomi - ruotsi	Pohjanmaa	Pohjanmaa	Österbotten	63.5217598	22.5303558
Uusikaupunki	Uusikaupunki	Nystad	Kaupunki	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.807601	21.402722
Vaasa	Vaasa	Vasa	Kaupunki	suomi	Pohjanmaa	Pohjanmaa	Österbotten	63.09508899999999	21.6164564
Valkeakoski	Valkeakoski	Valkeakoski	Kaupunki	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.2711827	24.0333266
Valtimo	Valtimo	Valtimo	Kunta	suomi	Pohjois-Karjala	Pohjois-Karjala	Norra Karelen	63.6784531	28.8156155
Varkaus	Varkaus	Varkaus	Kaupunki	suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	62.3246584	27.8961002
Vehmaa	Vehmaa	Vehmaa	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.6821429	21.7052386
Vesanto	Vesanto	Vesanto	Kunta	suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	62.85163410000001	26.4167685
Vesilahti	Vesilahti	Vesilahti	Kunta	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.30956719999999	23.6157666
Veteli	Veteli	Vetil	Kunta	suomi	Keski-Pohjanmaa	Keski-Pohjanmaa	Mellersta Österbotten	63.4799304	23.7864238
Vieremä	Vieremä	Vieremä	Kunta	suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	63.7430862	27.0014541
Vihti	Vihti	Vichtis	Kunta	suomi	Uusimaa	Uusimaa	Nyland	60.4165735	24.3256379
Viitasaari	Viitasaari	Viitasaari	Kaupunki	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	63.0734203	25.8597397
Vimpeli	Vimpeli	Vimpeli	Kunta	suomi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	63.16455649999999	23.8282368
Virolahti	Virolahti	Virolahti	Kunta	ruotsi	Kymenlaakso	Kymenlaakso	Kymmenedalen	60.5828728	27.7068982
Virrat	Virrat	Virdois	Kaupunki	ruotsi - suomi	Pirkanmaa	Pirkanmaa	Birkaland	62.24090479999999	23.7701707
Vårdö	Vårdö	Vårdö	Kunta	suomi	Ahvenanmaa	Ahvenanmaa	Åland	60.2423203	20.3734101
Vöyri	Vöyri	Vörå	Kunta	suomi	Pohjanmaa	Pohjanmaa	Österbotten	63.128554	22.2502157
Ylitornio	Ylitornio	Övertorneå	Kunta	suomi	Lappi	Lappi	Lappland	66.31926609999999	23.6709697
Ylivieska	Ylivieska	Ylivieska	Kaupunki	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.07234199999999	24.5335825
Ylöjärvi	Ylöjärvi	Ylöjärvi	Kaupunki	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.549558	23.5960975
Ypäjä	Ypäjä	Ypäjä	Kunta	suomi	Kanta-Häme	Kanta-Häme	Egentliga Tavastland	60.8037527	23.2819183
Ähtäri	Ähtäri	Etseri	Kaupunki	suomi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	62.55024779999999	24.0694098
Äänekoski	Äänekoski	Äänekoski	Kaupunki	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	62.60146589999999	25.7278806
