name_fi_FI	name_en_US	name_sv_SE	type	mainLanguage	municipality_fi_FI	municipality_en_US	municipality_sv_SE	latitude	longitude
Kaustinen	Kaustinen	Kaustby	Kunta	suomi	Keski-Pohjanmaa	Keski-Pohjanmaa	Mellersta Österbotten	63.5480932	23.6964759
Keitele	Keitele	Keitele	Kunta	suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	63.1785399	26.3412322
Kemi	Kemi	Kemi	Kaupunki	suomi	Lappi	Lappi	Lappland	65.73556789999999	24.5657426
Keminmaa	Keminmaa	Keminmaa	Kunta	suomi	Lappi	Lappi	Lappland	65.80127030000001	24.5450396
Kempele	Kempele	Kempele	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.91292829999999	25.5034842
Kerava	Kerava	Kervo	Kaupunki	suomi	Uusimaa	Uusimaa	Nyland	60.4009878	25.1020383
Keuruu	Keuruu	Keuruu	Kaupunki	suomi - ruotsi	Keski-Suomi	Keski-Suomi	Mellersta Finland	62.2559845	24.7078592
Kihniö	Kihniö	Kihniö	Kunta	suomi	Pirkanmaa	Pirkanmaa	Birkaland	62.20300059999999	23.1762739
Kinnula	Kinnula	Kinnula	Kunta	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	63.366435	24.9676764
Kirkkonummi	Kirkkonummi	Kyrkslätt	Kunta	suomi	Uusimaa	Uusimaa	Nyland	60.12349320000001	24.4412965
Kitee	Kitee	Kitee	Kaupunki	suomi	Pohjois-Karjala	Pohjois-Karjala	Norra Karelen	62.0984379	30.1380044
Kittilä	Kittilä	Kittilä	Kunta	suomi	Lappi	Lappi	Lappland	67.6507324	24.9158198
Kiuruvesi	Kiuruvesi	Kiuruvesi	Kaupunki	suomi - ruotsi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	63.65380200000001	26.6210552
Kivijärvi	Kivijärvi	Kivijärvi	Kunta	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	63.1199384	25.0747115
Kokemäki	Kokemäki	Kumo	Kaupunki	suomi	Satakunta	Satakunta	Satakunta	61.2583443	22.3539344
Kokkola	Kokkola	Karleby	Kaupunki	suomi	Keski-Pohjanmaa	Keski-Pohjanmaa	Mellersta Österbotten	63.8415002	23.1250337
Kolari	Kolari	Kolari	Kunta	ruotsi - suomi	Lappi	Lappi	Lappland	67.33193299999999	23.7892722
Konnevesi	Konnevesi	Konnevesi	Kunta	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	62.6277663	26.2938542
Kontiolahti	Kontiolahti	Kontiolahti	Kunta	suomi	Pohjois-Karjala	Pohjois-Karjala	Norra Karelen	62.7643378	29.8474185
Korsnäs	Korsnäs	Korsnäs	Kunta	suomi	Pohjanmaa	Pohjanmaa	Österbotten	62.7845869	21.1886864
Koski Tl	Koski Tl	Koski Åbo l	Kunta	ruotsi - suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.652148	23.138361
Kotka	Kotka	Kotka	Kaupunki	ruotsi - suomi	Kymenlaakso	Kymenlaakso	Kymmenedalen	60.4665666	26.9459403
